script_id,subtitle_id,script_text,subtitle_text,similarity
23,2,"館長、そろそろ会議の時間です","館長そろそろ会議の時間です",0.996623933315277
23,749,"館長、そろそろ会議の時間です","一時間四十五分を予定しております",0.879084825515747
24,460,"わかった、と手を上げる福原。","富士の命は助けることができた。",0.885217905044556
26,5,"自転車ダメですよ！","自転車だめですよ",0.982344508171082
26,3,"自転車ダメですよ！","自転車",0.918604671955109
26,295,"自転車ダメですよ！","ショーは嫌いでな",0.911271095275879
29,223,"（思わず見とれ）……","うっせえ何見てるんだろう",0.942012250423431
29,731,"（思わず見とれ）……","見てる",0.931749582290649
29,37,"（思わず見とれ）……","いつまでもつかな",0.917496919631958
29,710,"（思わず見とれ）……","の種類を",0.915418744087219
29,46,"（思わず見とれ）……","イルカがつまら",0.906647205352783
29,36,"（思わず見とれ）……","五番目の十位",0.89661580324173
29,57,"（思わず見とれ）……","右から",0.89100843667984
31,497,"一也、景色に見とれたまま、降りて行く。","一つは残った富士のびれを",0.897449254989624
32,306,"福原、一也を見る。","富士は",0.899205982685089
32,326,"福原、一也を見る。","富士は",0.899205982685089
33,149,"すれ違う二人。","交流する時は",0.899170815944672
36,708,"やってくる一也。","来るのはふ",0.940397441387177
36,695,"やってくる一也。","もし来たら",0.936106204986572
36,447,"やってくる一也。","ブリジストンが来ます",0.918718218803406
36,289,"やってくる一也。","富士がここに来てから",0.904290199279785
36,238,"やってくる一也。","不思議で持ってくる",0.902769088745117
40,754,"（何だ、あいつ……？）","いつ",0.925537526607513
40,282,"（何だ、あいつ……？）","誰にでも",0.906879007816315
40,71,"（何だ、あいつ……？）","ザーそんな",0.899858593940735
41,511,"入ってくる一也。","中に入ってて",0.940272271633148
41,708,"入ってくる一也。","来るのはふ",0.919259488582611
41,513,"入ってくる一也。","はいの中に入っちゃってここで？",0.918330788612366
41,519,"入ってくる一也。","穴を通して",0.894556760787964
42,755,"おはようございます","おはよう",0.981698751449585
42,185,"おはようございます","こんにちは",0.968110620975494
42,415,"おはようございます","こんにちは",0.968110620975494
42,76,"おはようございます","こんばんは",0.966781258583069
42,284,"おはようございます","お疲れ様です",0.951275765895844
42,454,"おはようございます","お疲れ様です",0.951275765895844
